school_id,school_name,program_category,language,grade_low,grade_high
48,Mario Umana Academy,Dual Language,Spanish,K1,8
24,Greenwood Sarah K-8 School,Dual Language,Spanish,K1,8
37,Hurley K-8 School,Dual Language,Spanish,K1,8
33,Hernandez Dual Language Elementary,Dual Language,Spanish,K1,6
114,Margarita Muniz Academy,Dual Language,Spanish,7,12
6,Blackstone Elementary School,Dual Language,Spanish,K1,K2
66,Sarah Roberts Elementary School,Dual Language,Spanish,K1,K2
52,McKay K-8 School,TBE,Spanish,K2,1
20,Ellis Elementary School,TBE,Spanish,,
21,Ellison-Parks Early Education School,TBE,Spanish,,
51,Mattahunt Elementary School,TBE,Haitian Kreyol,K1,6
50,Mather Elementary School,TBE,Vietnamese,K1,6
63,Quincy Elementary School,Dual Language,Chinese,K1,K2
36,Horace Mann School for the Deaf Hard of Hearing,ASL,ASL,7,12
