school_id,school_name,is_kindergarten,is_primary,is_high_school,address_full,street,city,state,zip,phone,email,grade_low,grade_high,school_type
1,Adams Elementary School,1,1,0,"165 Webster St. East Boston, MA 02128",165 Webster St.,East Boston,MA,2128,(617) 635-8383,adams@bostonpublicschools.org,K0,6,Traditional
2,Alighieri Dante Montessori School,1,1,0,"37 Gove St. East Boston, MA 02128",37 Gove St.,East Boston,MA,2128,(617) 635-8529,alighieri@bostonpublicschools.org,K0,6,Traditional
3,Baldwin Early Learning Pilot Academy,1,1,0,"121 Corey Rd. Brighton, MA 02135",121 Corey Rd.,Brighton,MA,2135,(617) 635-8409,nzelc@bostonpublicschools.org,K0,1,Pilot
4,Bates Elementary School,1,1,0,"426 Beech St. Roslindale, MA 02131",426 Beech St.,Roslindale,MA,2131,(617) 635-8064,bates@bostonpublicschools.org,K0,6,Traditional
5,Beethoven Elementary School,1,1,0,"5125 Washington St. West Roxbury, MA 02132",5125 Washington St.,West Roxbury,MA,2132,(617) 635-8149,beethoven@bostonpublicschools.org,K1,2,Traditional
6,Blackstone Elementary School,1,1,0,"380 Shawmut Ave South End, MA 02118",380,Shawmut Ave South End,MA,2118,(617) 635-8471,blackstone@bostonpublicschools.org,K0,6,Traditional
7,Boston Teachers Union K-8 Pilot School,1,1,1,"25 Walk Hill St Jamaica Plain, MA 02130",25,Walk Hill St Jamaica Plain,MA,2130,(617) 635-7717,btuschool@bostonpublicschools.org,K1,8,Pilot
8,Bradley Elementary School,1,1,0,"110 Beachview Rd East Boston, MA 02128",110,Beachview Rd East Boston,MA,2128,(617) 635-8422,bradley@bostonpublicschools.org,K0,6,Traditional
9,Channing Elementary School,1,1,0,"35 Sunnyside St Hyde Park, MA 02136",35,Sunnyside St Hyde Park,MA,2136,(617) 635-8722,channing@bostonpublicschools.org,K0,6,Traditional
10,Chittick Elementary School,1,1,0,"154 Ruskindale Rd Mattapan, MA 02136",154,Ruskindale Rd Mattapan,MA,2136,(617) 635-8652,chittick@bostonpublicschools.org,K0,6,Traditional
11,Clap Elementary School,1,1,0,"35 Harvest St Dorchester, MA 02125",35,Harvest St Dorchester,MA,2125,(617) 635-8672,clap@bostonpublicschools.org,K0,6,Traditional
12,Condon K-8 School,1,1,1,"200 D St South Boston, MA 02127",200,D St South Boston,MA,2127,(617) 635-8608,condon@bostonpublicschools.org,K0,8,Traditional
13,Conley Elementary School,1,1,0,"450 Poplar St Roslindale, MA 02131",450,Poplar St Roslindale,MA,2131,(617) 635-8099,conley@bostonpublicschools.org,K0,6,Elementary
14,Curley K-8 School,1,1,1,"40 Pershing Rd Jamaica Plain, MA 02130",40,Pershing Rd Jamaica Plain,MA,2130,(617) 635-8239,,K0,8,Traditional
15,Dever Elementary School,1,1,0,"325 Mt Vernon St Dorchester, MA 02125",325,Mt Vernon St Dorchester,MA,2125,(617) 635-8694,dever@bostonpublicschools.org,K1,6,Traditional
16,Dudley Street Neighborhood School,1,1,0,"6 Shirley St Roxbury, MA 02119",6,Shirley St Roxbury,MA,2119,(617) 635-8507,dudleystreetschool@bostonpublicschools.org,K1,5,In-District Charter School
17,East Boston Early Education Center,1,1,0,"135 Gove St East Boston, MA 02128",135,Gove St East Boston,MA,2128,(617) 635-6456,,K0,1,Traditional
18,Edison Elementary School,1,1,0,"60 Glenmont Rd Brighton, MA 02135",60,Glenmont Rd Brighton,MA,2135,(617) 635-8436,,K1,6,Traditional
19,Eliot K-8 Innovation School - Lower,1,1,0,"16 Charter St North End, MA 02113",16,Charter St North End,MA,2113,(617) 635-8388,,K1,1,Innovation School
